dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
612C,10M,Armstand Forward 1 Somersault Tuck,1.70,14.03,17.85,2,18.42,27.20,3,
613B,10M,Armstand Forward 1 1/2 Somersault Pike,2.20,0.00,0.00,0,6.60,6.60,1,
613C,10M,Armstand Forward 1 1/2 Somersault Tuck,1.90,0.00,0.00,0,0.00,0.00,0,
614B,5M,Armstand Forward 2 Somersault Pike,2.50,40.00,40.00,1,27.92,43.75,3,
614B,7M,Armstand Forward 2 Somersault Pike,2.30,38.69,49.45,60,37.35,51.75,296,
614B,10M,Armstand Forward 2 Somersault Pike,2.40,42.11,64.80,602,41.33,69.60,3886,
614C,5M,Armstand Forward 2 Somersault Tuck,2.20,0.00,0.00,1,15.40,30.80,2,
614C,7M,Armstand Forward 2 Somersault Tuck,2.00,26.89,36.00,9,26.66,39.00,57,
614C,10M,Armstand Forward 2 Somersault Tuck,2.10,23.10,23.10,1,27.83,45.15,24,
616B,10M,Armstand Forward 3 Somersault Pike,3.30,0.00,0.00,0,52.71,75.90,35,
616C,10M,Armstand Forward 3 Somersault Tuck,3.10,47.43,52.70,5,46.61,64.50,30,
621A,5M,Armstand Back 1/2 Somersault Straight,1.70,0.00,0.00,0,25.78,34.00,3,
621A,7M,Armstand Back 1/2 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0,
621A,10M,Armstand Back 1/2 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0,
621B,5M,Armstand Back 1/2 Somersault Pike,1.60,0.00,0.00,0,21.60,25.60,2,
621B,7M,Armstand Back 1/2 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
621B,10M,Armstand Back 1/2 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
621C,5M,Armstand Back 1/2 Somersault Tuck,1.40,0.00,0.00,0,0.00,0.00,0,
621C,7M,Armstand Back 1/2 Somersault Tuck,1.60,0.00,0.00,0,0.00,0.00,0,
621C,10M,Armstand Back 1/2 Somersault Tuck,1.60,0.00,0.00,0,0.00,0.00,0,
622A,5M,Armstand Back 1 Somersault Straight,2.10,27.58,34.65,15,32.00,56.70,82,
622A,7M,Armstand Back 1 Somersault Straight,2.20,0.00,0.00,0,0.00,0.00,0,
622A,10M,Armstand Back 1 Somersault Straight,2.30,0.00,0.00,0,0.00,0.00,0,
622B,5M,Armstand Back 1 Somersault Pike,2.00,0.00,0.00,0,23.33,32.00,3,
622B,7M,Armstand Back 1 Somersault Pike,2.10,0.00,0.00,0,0.00,0.00,0,
622B,10M,Armstand Back 1 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0,
622C,5M,Armstand Back 1 Somersault Tuck,1.80,0.00,0.00,0,24.85,35.10,18,
622C,7M,Armstand Back 1 Somersault Tuck,1.90,0.00,0.00,0,0.00,0.00,0,
622C,10M,Armstand Back 1 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
623A,5M,Armstand Back 1 1/2 Somersault Straight,2.50,53.75,53.75,1,47.57,56.25,19,
623B,5M,Armstand Back 1 1/2 Somersault Pike,2.30,32.20,34.50,2,30.95,50.60,22,
623B,7M,Armstand Back 1 1/2 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0,
623B,10M,Armstand Back 1 1/2 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0,
623C,5M,Armstand Back 1 1/2 Somersault Tuck,2.00,24.50,26.00,2,23.90,33.00,10,
623C,7M,Armstand Back 1 1/2 Somersault Tuck,1.90,0.00,0.00,0,0.00,0.00,0,
623C,10M,Armstand Back 1 1/2 Somersault Tuck,1.90,0.00,0.00,0,30.40,30.40,1,
624A,5M,Armstand Back 2 Somersault Straight,3.10,0.00,0.00,0,0.00,0.00,0,
624A,7M,Armstand Back 2 Somersault Straight,2.90,0.00,0.00,0,0.00,0.00,0,
624A,10M,Armstand Back 2 Somersault Straight,3.00,0.00,0.00,0,46.94,66.00,24,
624B,5M,Armstand Back 2 Somersault Pike,2.90,0.00,0.00,0,46.88,58.00,6,
624B,7M,Armstand Back 2 Somersault Pike,2.70,30.15,33.75,3,34.08,51.30,19,
624B,10M,Armstand Back 2 Somersault Pike,2.80,44.87,74.20,61,43.89,74.20,366,
624C,5M,Armstand Back 2 Somersault Tuck,2.60,36.94,62.40,40,37.51,65.00,390,
624C,7M,Armstand Back 2 Somersault Tuck,2.40,39.73,54.00,9,35.12,54.00,48,
624C,10M,Armstand Back 2 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0,
626B,7M,Armstand Back 3 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0,
626B,10M,Armstand Back 3 Somersault Pike,3.50,60.71,84.00,13,76.44,105.00,154,
626C,5M,Armstand Back 3 Somersault Tuck,3.50,0.00,0.00,0,0.00,0.00,0,
626C,7M,Armstand Back 3 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
626C,10M,Armstand Back 3 Somersault Tuck,3.30,57.78,94.05,106,58.73,99.00,1016,
628B,10M,Armstand Back 4 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0,
628C,10M,Armstand Back 4 Somersault Tuck,4.50,0.00,0.00,0,0.00,0.00,0,
631A,5M,Armstand Reverse 1/2 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0,
631A,7M,Armstand Reverse 1/2 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0,
631A,10M,Armstand Reverse 1/2 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0,
631B,5M,Armstand Reverse 1/2 Somersault Pike,1.70,0.00,0.00,0,28.90,28.90,1,
631B,7M,Armstand Reverse 1/2 Somersault Pike,1.90,0.00,0.00,0,40.85,40.85,1,
631B,10M,Armstand Reverse 1/2 Somersault Pike,1.90,0.00,0.00,0,33.41,50.35,13,
631C,5M,Armstand Reverse 1/2 Somersault Tuck,1.50,25.00,32.25,3,26.78,37.50,40,
631C,7M,Armstand Reverse 1/2 Somersault Tuck,1.70,0.00,0.00,0,37.49,45.05,9,
631C,10M,Armstand Reverse 1/2 Somersault Tuck,1.70,0.00,0.00,0,33.29,51.00,6,
632B,5M,Armstand Reverse 1 Somersault Pike,2.10,0.00,0.00,0,30.71,36.75,4,
632B,7M,Armstand Reverse 1 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0,
632B,10M,Armstand Reverse 1 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
632C,5M,Armstand Reverse 1 Somersault Tuck,1.90,14.25,16.15,2,29.95,47.50,21,
632C,7M,Armstand Reverse 1 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
632C,10M,Armstand Reverse 1 Somersault Tuck,2.10,0.00,0.00,0,39.38,47.25,4,
633B,5M,Armstand Reverse 1 1/2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0,
633B,7M,Armstand Reverse 1 1/2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
633B,10M,Armstand Reverse 1 1/2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
633C,5M,Armstand Reverse 1 1/2 Somersault Tuck,2.10,26.25,26.25,1,26.25,26.25,1,
633C,7M,Armstand Reverse 1 1/2 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
633C,10M,Armstand Reverse 1 1/2 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
634B,5M,Armstand Reverse 2 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0,
634B,7M,Armstand Reverse 2 Somersault Pike,2.80,0.00,0.00,0,0.00,0.00,0,
634B,10M,Armstand Reverse 2 Somersault Pike,2.90,0.00,0.00,0,0.00,0.00,0,
634C,5M,Armstand Reverse 2 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0,
634C,7M,Armstand Reverse 2 Somersault Tuck,2.50,0.00,0.00,0,16.25,18.75,3,
634C,10M,Armstand Reverse 2 Somersault Tuck,2.60,0.00,0.00,0,0.00,0.00,0,
636B,10M,Armstand Reverse 3 Somersault Pike,3.60,0.00,0.00,0,0.00,0.00,0,
636C,7M,Armstand Reverse 3 Somersault Tuck,3.20,0.00,0.00,0,0.00,0.00,0,
636C,10M,Armstand Reverse 3 Somersault Tuck,3.40,0.00,0.00,0,73.26,84.15,5,
638B,10M,Armstand Reverse 4 Somersault Pike,4.80,0.00,0.00,0,0.00,0.00,0,
638C,10M,Armstand Reverse 4 Somersault Tuck,4.60,0.00,0.00,0,0.00,0.00,0,
1011C,10M,Forward 5 1/2 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0,
5101A,1M,Forward Jump 1/2 Twist Straight,1.00,13.30,18.50,27,14.20,21.00,339,
5101A,3M,Forward Jump 1/2 Twist Straight,1.00,11.36,18.50,35,13.08,32.30,373,
5101A,5M,Forward Jump 1/2 Twist Straight,1.00,0.00,0.00,0,15.67,18.50,3,
5101A,7M,Forward Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5101A,10M,Forward Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5101D,1M,Forward Jump 1/2 Twist Free,1.00,13.21,17.50,19,13.21,20.00,88,
5101D,3M,Forward Jump 1/2 Twist Free,1.00,10.10,18.00,29,11.53,19.00,164,
5101D,5M,Forward Jump 1/2 Twist Free,1.00,0.00,0.00,0,12.17,14.00,3,
5102A,1M,Forward Jump 1 Twist Straight,1.00,13.25,18.00,26,13.00,21.50,200,
5102A,3M,Forward Jump 1 Twist Straight,1.00,9.88,16.50,17,11.76,19.50,121,
5102A,5M,Forward Jump 1 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,2,
5102A,7M,Forward Jump 1 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5102A,10M,Forward Jump 1 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5102D,1M,Forward Jump 1 Twist Free,1.00,7.50,7.50,1,10.84,17.50,31,
5102D,3M,Forward Jump 1 Twist Free,1.00,14.00,16.00,4,9.90,18.50,36,
5102D,5M,Forward Jump 1 Twist Free,1.00,0.00,0.00,0,10.50,10.50,1,
5104A,1M,Forward Jump 2 Twist Straight,1.00,0.00,0.00,0,11.00,11.00,1,
5104A,3M,Forward Jump 2 Twist Straight,1.00,15.00,15.00,1,12.75,15.00,2,
5104A,5M,Forward Jump 2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5104A,7M,Forward Jump 2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5104A,10M,Forward Jump 2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106A,1M,Forward Jump 3 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106A,3M,Forward Jump 3 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106A,5M,Forward Jump 3 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106A,7M,Forward Jump 3 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106A,10M,Forward Jump 3 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5106B,1M,Forward Jump 3 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5106B,3M,Forward Jump 3 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5106B,5M,Forward Jump 3 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5106B,7M,Forward Jump 3 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5106B,10M,Forward Jump 3 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5106C,1M,Forward Jump 3 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5106C,3M,Forward Jump 3 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5106C,5M,Forward Jump 3 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5106C,7M,Forward Jump 3 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5106C,10M,Forward Jump 3 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5111A,1M,Forward Dive 1/2 Twist Straight,1.80,25.93,48.60,375,26.02,53.40,3226,
5111A,3M,Forward Dive 1/2 Twist Straight,2.00,30.80,51.60,269,30.36,57.00,1986,
5111A,5M,Forward Dive 1/2 Twist Straight,1.80,28.26,44.10,35,32.40,46.80,224,
5111A,7M,Forward Dive 1/2 Twist Straight,2.00,48.00,48.00,1,37.58,53.00,12,
5111A,10M,Forward Dive 1/2 Twist Straight,2.00,0.00,0.00,0,30.00,30.00,1,
5111B,1M,Forward Dive 1/2 Twist Pike,1.70,20.51,34.00,40,20.74,37.40,285,
5111B,3M,Forward Dive 1/2 Twist Pike,1.90,21.55,38.00,38,22.84,39.90,458,
5111B,5M,Forward Dive 1/2 Twist Pike,1.70,19.13,20.40,2,17.57,28.05,15,
5111B,7M,Forward Dive 1/2 Twist Pike,1.90,38.95,38.95,1,32.30,38.95,3,
5111B,10M,Forward Dive 1/2 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,0,
5111C,1M,Forward Dive 1/2 Twist Tuck,1.60,16.28,21.60,10,17.61,28.80,71,
5111C,3M,Forward Dive 1/2 Twist Tuck,1.80,11.09,22.50,8,18.81,36.90,87,
5111C,5M,Forward Dive 1/2 Twist Tuck,1.60,17.60,17.60,1,17.60,17.60,1,
5111C,7M,Forward Dive 1/2 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5111C,10M,Forward Dive 1/2 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5112A,1M,Forward Dive 1 Twist Straight,2.00,34.33,48.60,34,33.44,53.00,172,
5112A,3M,Forward Dive 1 Twist Straight,2.20,45.87,55.00,20,40.70,59.40,159,
5112A,5M,Forward Dive 1 Twist Straight,2.00,39.83,45.00,6,37.51,51.00,39,
5112A,7M,Forward Dive 1 Twist Straight,2.20,0.00,0.00,0,0.00,0.00,0,
5112A,10M,Forward Dive 1 Twist Straight,2.20,0.00,0.00,0,0.00,0.00,0,
5112B,1M,Forward Dive 1 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,2,
5112B,3M,Forward Dive 1 Twist Pike,2.10,37.80,37.80,1,26.95,37.80,3,
5112B,5M,Forward Dive 1 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,0,
5112B,7M,Forward Dive 1 Twist Pike,2.10,0.00,0.00,0,0.00,0.00,0,
5112B,10M,Forward Dive 1 Twist Pike,2.10,0.00,0.00,0,0.00,0.00,0,
5121D,1M,Forward 1 Somersault 1/2 Twist Free,1.70,18.86,34.85,793,18.96,44.40,4681,
5121D,3M,Forward 1 Somersault 1/2 Twist Free,1.80,18.86,32.40,26,19.24,35.10,137,
5121D,5M,Forward 1 Somersault 1/2 Twist Free,1.70,21.25,27.20,5,23.81,39.60,13,
5121D,7M,Forward 1 Somersault 1/2 Twist Free,1.80,0.00,0.00,0,23.40,23.40,1,
5121D,10M,Forward 1 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,41.33,49.40,2,
5122D,1M,Forward 1 Somersault 1 Twist Free,1.90,25.74,50.73,2788,24.96,54.00,19630,
5122D,3M,Forward 1 Somersault 1 Twist Free,2.00,23.72,38.00,18,21.98,41.00,145,
5122D,5M,Forward 1 Somersault 1 Twist Free,1.90,36.58,38.95,2,32.00,38.95,7,
5122D,7M,Forward 1 Somersault 1 Twist Free,2.00,0.00,0.00,0,0.00,0.00,0,
5122D,10M,Forward 1 Somersault 1 Twist Free,2.10,0.00,0.00,0,42.00,42.00,1,
5123D,1M,Forward 1 Somersault 1 1/2 Twist Free,2.10,15.23,34.65,6,22.48,45.68,46,
5124D,1M,Forward 1 Somersault 2 Twist Free,2.30,32.82,54.05,650,32.94,59.34,5358,
5124D,3M,Forward 1 Somersault 2 Twist Free,2.40,44.88,49.20,5,34.22,50.40,33,
5124D,5M,Forward 1 Somersault 2 Twist Free,2.30,43.64,47.15,4,43.88,47.15,5,
5124D,7M,Forward 1 Somersault 2 Twist Free,2.40,0.00,0.00,0,35.60,40.80,3,
5124D,10M,Forward 1 Somersault 2 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
5126D,1M,Forward 1 Somersault 3 Twist Free,2.80,35.00,50.40,23,38.89,61.60,237,
5126D,3M,Forward 1 Somersault 3 Twist Free,2.90,26.10,26.10,1,26.10,26.10,1,
5131D,1M,Forward 1 1/2 Somersault 1/2 Twist Free,2.00,22.86,45.00,42,24.68,46.00,251,
5131D,3M,Forward 1 1/2 Somersault 1/2 Twist Free,1.90,22.47,35.15,20,24.41,49.00,133,
5131D,5M,Forward 1 1/2 Somersault 1/2 Twist Free,2.00,0.00,0.00,0,31.00,35.00,4,
5131D,7M,Forward 1 1/2 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,0.00,0.00,0,
5131D,10M,Forward 1 1/2 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,0.00,0.00,0,
5132D,1M,Forward 1 1/2 Somersault 1 Twist Free,2.20,37.63,62.70,5602,36.91,66.00,41127,
5132D,3M,Forward 1 1/2 Somersault 1 Twist Free,2.10,34.94,63.00,4324,34.92,63.00,36909,
5132D,5M,Forward 1 1/2 Somersault 1 Twist Free,2.20,36.19,55.00,635,35.98,55.00,4550,
5132D,7M,Forward 1 1/2 Somersault 1 Twist Free,2.10,38.39,53.55,230,38.37,57.75,1675,
5132D,10M,Forward 1 1/2 Somersault 1 Twist Free,2.10,41.49,55.65,115,42.15,60.90,1357,
5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,2.60,45.31,71.50,2145,44.75,78.00,14794,
5134D,3M,Forward 1 1/2 Somersault 2 Twist Free,2.50,41.88,69.75,1446,41.52,75.00,11092,
5134D,5M,Forward 1 1/2 Somersault 2 Twist Free,2.60,42.75,58.50,42,43.19,65.00,264,
5134D,7M,Forward 1 1/2 Somersault 2 Twist Free,2.50,39.57,57.50,41,42.35,71.25,466,
5134D,10M,Forward 1 1/2 Somersault 2 Twist Free,2.50,49.53,55.00,8,45.49,61.25,40,
5136D,1M,Forward 1 1/2 Somersault 3 Twist Free,3.10,51.11,75.95,78,46.70,79.50,311,
5136D,3M,Forward 1 1/2 Somersault 3 Twist Free,3.00,50.21,72.00,197,47.24,76.50,1171,
5136D,5M,Forward 1 1/2 Somersault 3 Twist Free,3.10,0.00,0.00,0,0.00,0.00,0,
5136D,7M,Forward 1 1/2 Somersault 3 Twist Free,3.00,0.00,0.00,0,52.89,73.50,19,
5136D,10M,Forward 1 1/2 Somersault 3 Twist Free,3.00,0.00,0.00,0,59.87,72.50,8,
5138D,1M,Forward 1 1/2 Somersault 4 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
5138D,3M,Forward 1 1/2 Somersault 4 Twist Free,3.40,0.00,0.00,0,18.13,27.20,3,
5138D,5M,Forward 1 1/2 Somersault 4 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
5138D,7M,Forward 1 1/2 Somersault 4 Twist Free,3.40,0.00,0.00,0,0.00,0.00,0,
5138D,10M,Forward 1 1/2 Somersault 4 Twist Free,3.40,0.00,0.00,0,34.65,34.65,1,
5141A,1M,Forward 2 Somersault 1/2 Twist Straight,2.80,0.00,0.00,0,0.00,0.00,0,
5141A,3M,Forward 2 Somersault 1/2 Twist Straight,2.60,0.00,0.00,0,35.10,41.60,3,
5141A,5M,Forward 2 Somersault 1/2 Twist Straight,2.80,0.00,0.00,0,0.00,0.00,0,
5141A,7M,Forward 2 Somersault 1/2 Twist Straight,2.60,0.00,0.00,0,0.00,0.00,0,
5141A,10M,Forward 2 Somersault 1/2 Twist Straight,2.70,0.00,0.00,0,0.00,0.00,0,
5141B,1M,Forward 2 Somersault 1/2 Twist Pike,2.50,52.50,60.00,2,37.57,60.00,17,
5141B,3M,Forward 2 Somersault 1/2 Twist Pike,2.30,48.30,55.20,3,43.10,55.20,47,
5141B,5M,Forward 2 Somersault 1/2 Twist Pike,2.50,0.00,0.00,0,0.00,0.00,0,
5141B,7M,Forward 2 Somersault 1/2 Twist Pike,2.30,0.00,0.00,0,49.14,59.80,15,
5141B,10M,Forward 2 Somersault 1/2 Twist Pike,2.40,43.01,51.12,8,43.16,56.40,30,
5141C,1M,Forward 2 Somersault 1/2 Twist Tuck,2.40,33.60,33.60,1,41.07,54.00,9,
5141C,3M,Forward 2 Somersault 1/2 Twist Tuck,2.20,34.54,51.70,5,33.30,51.70,13,
5141C,5M,Forward 2 Somersault 1/2 Twist Tuck,2.40,22.80,22.80,1,22.80,22.80,2,
5141C,7M,Forward 2 Somersault 1/2 Twist Tuck,2.20,0.00,0.00,0,48.40,48.40,1,
5141C,10M,Forward 2 Somersault 1/2 Twist Tuck,2.30,43.70,43.70,1,43.51,55.20,6,
5142B,1M,Forward 2 Somersault 1 Twist Pike,2.70,38.55,52.65,29,37.23,70.20,132,
5142B,3M,Forward 2 Somersault 1 Twist Pike,2.50,45.16,58.75,12,39.22,58.75,43,
5142B,5M,Forward 2 Somersault 1 Twist Pike,2.70,0.00,0.00,0,0.00,0.00,0,
5142B,7M,Forward 2 Somersault 1 Twist Pike,2.50,0.00,0.00,0,0.00,0.00,0,
5142B,10M,Forward 2 Somersault 1 Twist Pike,2.60,0.00,0.00,0,0.00,0.00,0,
5142C,1M,Forward 2 Somersault 1 Twist Tuck,2.60,35.97,44.20,3,34.23,53.30,18,
5143A,3M,Forward 2 Somersault 1 1/2 Twist Straight,3.00,0.00,0.00,0,31.50,31.50,1,
5143B,1M,Forward 2 Somersault 1 1/2 Twist Pike,2.90,0.00,0.00,0,45.68,53.65,4,
5143B,3M,Forward 2 Somersault 1 1/2 Twist Pike,2.70,0.00,0.00,0,50.29,60.75,8,
5143B,10M,Forward 2 Somersault 1 1/2 Twist Pike,2.80,0.00,0.00,0,35.00,35.00,1,
5144B,1M,Forward 2 Somersault 2 Twist Pike,3.10,0.00,0.00,0,46.50,46.50,1,
5145B,3M,Forward 2 Somersault 2 1/2 Twist Pike,3.10,0.00,0.00,0,0.00,0.00,1,
5151B,1M,Forward 2 1/2 Somersault 1/2 Twist Pike,3.00,0.00,0.00,0,0.00,0.00,0,
5151B,3M,Forward 2 1/2 Somersault 1/2 Twist Pike,2.80,0.00,0.00,0,36.74,54.60,25,
5151C,1M,Forward 2 1/2 Somersault 1/2 Twist Tuck,2.80,0.00,0.00,0,41.44,54.60,5,
5151C,3M,Forward 2 1/2 Somersault 1/2 Twist Tuck,2.60,0.00,0.00,0,18.20,18.20,1,
5152B,1M,Forward 2 1/2 Somersault 1 Twist Pike,3.20,58.76,86.40,488,56.02,91.20,2519,
5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,3.00,53.85,81.00,3353,53.91,85.50,21637,
5152B,5M,Forward 2 1/2 Somersault 1 Twist Pike,3.20,0.00,0.00,0,72.00,72.00,1,
5152B,7M,Forward 2 1/2 Somersault 1 Twist Pike,3.00,50.76,64.50,31,49.67,72.00,133,
5152B,10M,Forward 2 1/2 Somersault 1 Twist Pike,2.90,51.58,73.95,252,51.62,76.85,1804,
5152C,1M,Forward 2 1/2 Somersault 1 Twist Tuck,3.00,42.00,57.00,8,45.39,70.50,165,
5152C,3M,Forward 2 1/2 Somersault 1 Twist Tuck,2.80,43.51,65.80,50,45.51,73.50,339,
5152C,5M,Forward 2 1/2 Somersault 1 Twist Tuck,3.00,0.00,0.00,0,0.00,0.00,0,
5152C,7M,Forward 2 1/2 Somersault 1 Twist Tuck,2.80,0.00,0.00,0,39.20,53.20,14,
5152C,10M,Forward 2 1/2 Somersault 1 Twist Tuck,2.70,0.00,0.00,0,42.90,56.70,9,
5154B,1M,Forward 2 1/2 Somersault 2 Twist Pike,3.60,27.00,27.00,1,44.40,55.80,6,
5154B,3M,Forward 2 1/2 Somersault 2 Twist Pike,3.40,65.35,98.60,1045,65.00,100.30,6547,
5154B,5M,Forward 2 1/2 Somersault 2 Twist Pike,3.60,0.00,0.00,0,0.00,0.00,0,
5154B,7M,Forward 2 1/2 Somersault 2 Twist Pike,3.40,0.00,0.00,0,0.00,0.00,0,
5154B,10M,Forward 2 1/2 Somersault 2 Twist Pike,3.30,53.32,72.60,55,58.27,85.80,303,
5154C,1M,Forward 2 1/2 Somersault 2 Twist Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
5154C,3M,Forward 2 1/2 Somersault 2 Twist Tuck,3.20,0.00,0.00,0,57.72,72.00,26,
5154C,5M,Forward 2 1/2 Somersault 2 Twist Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
5154C,7M,Forward 2 1/2 Somersault 2 Twist Tuck,3.20,0.00,0.00,0,0.00,0.00,0,
5154C,10M,Forward 2 1/2 Somersault 2 Twist Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
5156B,1M,Forward 2 1/2 Somersault 3 Twist Pike,4.10,0.00,0.00,0,0.00,0.00,1,
5156B,3M,Forward 2 1/2 Somersault 3 Twist Pike,3.90,68.25,93.60,11,73.93,102.60,110,
5156B,5M,Forward 2 1/2 Somersault 3 Twist Pike,4.10,0.00,0.00,0,0.00,0.00,0,
5156B,7M,Forward 2 1/2 Somersault 3 Twist Pike,3.90,0.00,0.00,0,0.00,0.00,0,
5156B,10M,Forward 2 1/2 Somersault 3 Twist Pike,3.80,72.83,83.60,3,82.04,102.60,45,
5156C,3M,Forward 2 1/2 Somersault 3 Twist Tuck,3.70,0.00,0.00,0,0.00,0.00,0,
5156C,10M,Forward 2 1/2 Somersault 3 Twist Tuck,3.60,0.00,0.00,0,0.00,0.00,0,
5161B,3M, Forward 3 Somersault 1/2 Twist Pike,3.00,42.00,42.00,1,42.00,42.00,1,
5172B,3M,Forward 3 1/2 Somersault 1 Twist Pike,3.70,59.20,59.20,1,59.20,59.20,1,
5172B,7M,Forward 3 1/2 Somersault 1 Twist Pike,3.70,0.00,0.00,0,0.00,0.00,0,
5172B,10M,Forward 3 1/2 Somersault 1 Twist Pike,3.60,60.60,77.40,3,60.60,77.40,3,
5172C,3M,Forward 3 1/2 Somersault 1 Twist Tuck,3.40,0.00,0.00,0,49.87,64.60,6,
5172C,7M,Forward 3 1/2 Somersault 1 Twist Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
5172C,10M,Forward 3 1/2 Somersault 1 Twist Tuck,3.30,0.00,0.00,0,0.00,0.00,0,
5201A,1M,Back Jump 1/2 Twist Straight,1.00,12.71,22.00,42,13.91,23.50,259,
5201A,3M,Back Jump 1/2 Twist Straight,1.00,12.74,18.50,29,12.46,22.00,252,
5201A,5M,Back Jump 1/2 Twist Straight,1.00,0.00,0.00,0,12.50,14.00,3,
5201A,7M,Back Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5201A,10M,Back Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5201D,1M,Back Jump 1/2 Twist Free,1.00,12.00,12.00,1,11.00,16.00,16,
5201D,3M,Back Jump 1/2 Twist Free,1.00,5.88,12.00,4,11.07,17.50,35,
5201D,5M,Back Jump 1/2 Twist Free,1.00,0.00,0.00,0,9.83,14.00,3,
5202A,1M,Back Jump 1 Twist Straight,1.00,10.50,10.50,1,13.20,17.00,5,
5202A,3M,Back Jump 1 Twist Straight,1.00,0.00,0.00,0,10.38,14.50,4,
5202A,5M,Back Jump 1 Twist Straight,1.00,0.00,0.00,0,13.00,13.00,1,
5202A,7M,Back Jump 1 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5202A,10M,Back Jump 1 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5202D,1M,Back Jump 1 Twist Free,1.00,0.00,0.00,0,13.25,16.50,8,
5202D,3M,Back Jump 1 Twist Free,1.00,0.00,0.00,0,0.00,0.00,0,
